Gene	ModuleColor	kWithin	ModuleName
CDCA4	blue	39.245409408525	AUD3
CDK5RAP1	blue	3.24484802811122	AUD3
CDK7	blue	8.11137872100332	AUD3
CEP41	blue	25.0629078488711	AUD3
CEP57L1	blue	8.99255843109487	AUD3
CEP85	blue	24.6539036537528	AUD3
CEP89	blue	29.2118404038613	AUD3
CHAC2	blue	31.3512967488415	AUD3
CHCHD3	blue	31.1434373643034	AUD3
CHEK1	blue	57.1503625884318	AUD3
CHRNA5	blue	9.86311748451811	AUD3
CLCC1	blue	3.05635317435951	AUD3
CLIC1	blue	69.5348691493694	AUD3
CLPB	blue	6.14652697442052	AUD3
CMC2	blue	46.5178422183087	AUD3
CMSS1	blue	39.840532241257	AUD3
CNOT11	blue	22.636196476116	AUD3
CNTRL	blue	14.4595708932344	AUD3
COA3	blue	19.2296520146995	AUD3
COA4	blue	16.9582820778466	AUD3
COA7	blue	32.8525038713251	AUD3
COIL	blue	31.7979211174019	AUD3
COMMD8	blue	22.1439942487085	AUD3
COPB2	blue	14.1662611524747	AUD3
COPS3	blue	46.7099508875477	AUD3
COPS5	blue	4.32907217637902	AUD3
COQ3	blue	17.2175032914104	AUD3
CPSF2	blue	42.647092210959	AUD3
CPSF3	blue	51.2387391502971	AUD3
CS	blue	73.1046014116705	AUD3
CSTF2	blue	71.7698603042907	AUD3
CTCF	blue	28.1601596566444	AUD3
CTNNBL1	blue	23.0529633120517	AUD3
CUL2	blue	32.0854903495582	AUD3
CUL3	blue	20.4365766706079	AUD3
CWC27	blue	13.9822541634614	AUD3
CYCS	blue	24.6420690423629	AUD3
DARS2	blue	51.6646262457291	AUD3
DCAF15	blue	39.2209533569921	AUD3
DCK	blue	26.6412734180512	AUD3
DCLRE1A	blue	12.7760395073294	AUD3
DCLRE1B	blue	48.5916849129979	AUD3
DCPS	blue	27.0714704793282	AUD3
DCTN2	blue	8.02796142052392	AUD3
DCTPP1	blue	56.6403855154911	AUD3
DDX18	blue	20.7307634921389	AUD3
DDX20	blue	60.8657486517394	AUD3
DDX23	blue	45.4637867597401	AUD3
DDX27	blue	10.68257989002	AUD3
DDX31	blue	10.095175740663	AUD3
DDX41	blue	8.3026072814698	AUD3
DDX50	blue	39.7710141728447	AUD3
DFFA	blue	8.1568166576144	AUD3
DHODH	blue	5.82155500743082	AUD3
DHX33	blue	36.7337911831617	AUD3
DKC1	blue	73.7269641341254	AUD3
DLAT	blue	26.3224489949398	AUD3
DLD	blue	16.8605351748774	AUD3
DNAAF5	blue	39.0832497410019	AUD3
DNAJC11	blue	17.4219205335622	AUD3
DNAJC7	blue	22.0652994108062	AUD3
DNAJC8	blue	75.8372728536606	AUD3
DOLPP1	blue	26.8434541382302	AUD3
DPH2	blue	22.0512112506633	AUD3
DPP3	blue	35.9070574013147	AUD3
DRG1	blue	40.5952289412672	AUD3
DSCC1	blue	43.5774323961623	AUD3
DUS4L	blue	8.38759666773243	AUD3
DUSP12	blue	33.6419278529829	AUD3
DYNC1I2	blue	14.3900027507185	AUD3
DYNC1LI1	blue	73.6422926155154	AUD3
EBNA1BP2	blue	92.471085611066	AUD3
EED	blue	34.5865183975866	AUD3
EEF1E1	blue	18.8675018757652	AUD3
EEF2KMT	blue	30.6547963666829	AUD3
EEFSEC	blue	19.7740030736182	AUD3
EFTUD2	blue	55.8377821304263	AUD3
EIF1AX	blue	21.9550635490214	AUD3
EIF2B1	blue	58.6526266976134	AUD3
EIF2B5	blue	11.413661020192	AUD3
EIF3D	blue	19.3313024922056	AUD3
EIF3J	blue	62.8614520437403	AUD3
EIF4A3	blue	15.7134655932394	AUD3
EIF4EBP1	blue	39.6825709757527	AUD3
EIF4G2	blue	16.8590734461103	AUD3
EIF4H	blue	37.7723232703387	AUD3
EIF5AL1	blue	24.7694689955745	AUD3
EIPR1	blue	21.9527089957467	AUD3
ELAVL1	blue	72.9327912903835	AUD3
ELOA	blue	34.7726755923024	AUD3
ELP1	blue	18.5528918006672	AUD3
ELP6	blue	5.87977874231676	AUD3
EMC8	blue	44.8940108532577	AUD3
ENY2	blue	37.8794123798033	AUD3
ERAL1	blue	43.376483281801	AUD3
ERH	blue	34.1079512824819	AUD3
ESD	blue	27.1872478387206	AUD3
EXOSC3	blue	19.8852836796705	AUD3
EXOSC5	blue	9.18036741810204	AUD3
EXOSC8	blue	48.6909791843167	AUD3
EZR	blue	17.5945930756746	AUD3
FAM110A	blue	8.77200835559816	AUD3
FAM192A	blue	4.67815866845407	AUD3
FAM207A	blue	17.3430060833683	AUD3
FAM98A	blue	58.8064033631723	AUD3
FARSA	blue	20.3920975868271	AUD3
FBL	blue	40.5939156289845	AUD3
FBXO5	blue	55.8037239951175	AUD3
FERMT1	blue	19.1540488074898	AUD3
FIGNL1	blue	39.8684431857371	AUD3
FKBP3	blue	16.1927196713078	AUD3
FKBP4	blue	33.0429024284721	AUD3
FLAD1	blue	26.1591319722275	AUD3
FOPNL	blue	19.3095224694646	AUD3
FOXRED1	blue	19.9570365591132	AUD3
FTSJ1	blue	18.3317412137927	AUD3
FTSJ3	blue	53.9993235534682	AUD3
